项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,1 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,43.20%,
,SRC/OWC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,50.72%,
,SRC/OWC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,14 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,43.06%,
,SRC/OWC生料,,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,50.56%,
,SRC/OWC熟料,,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,15 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,42.93%,
,SRC/OWC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,50.40%,
,SRC/OWC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,16 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,42.80%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,50.24%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,17 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,42.66%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,50.08%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,18 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,42.53%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,49.93%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,19 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,42.40%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,49.77%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,20 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,42.27%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,49.62%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,21 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,42.14%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,49.47%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,22 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,42.01%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,49.32%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,23 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,41.88%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,49.17%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,24 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,41.75%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,49.02%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,25 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,41.62%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,48.87%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,26 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,41.50%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,48.72%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,27 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,41.37%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,48.57%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,28 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,41.25%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,48.43%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,29 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,41.12%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,48.28%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,30 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,41.00%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,48.14%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,31 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,40.88%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,47.99%,
,SRC熟料,0,0,223044,,,,
