项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,1 ,日,,,,
原料磨,OPC生料,0,0,746536,0.00%,0.00%,39.47%,
,SRC/OWC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,46.33%,
,SRC/OWC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,14 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,39.35%,
,SRC/OWC生料,,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,46.20%,
,SRC/OWC熟料,,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,15 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,39.24%,
,SRC/OWC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,46.07%,
,SRC/OWC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,16 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,39.13%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,45.94%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,17 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,39.02%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,45.80%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,18 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,38.90%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,45.67%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,19 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,38.79%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,45.54%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,20 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,38.68%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,45.42%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,21 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,38.58%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,45.29%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,22 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,38.47%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,45.16%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,23 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,38.36%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,45.03%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,24 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,38.25%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,44.91%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,25 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,38.15%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,44.78%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,26 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,38.04%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,44.66%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,27 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,37.93%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,44.54%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,28 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,37.83%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,44.41%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,29 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,37.73%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,44.29%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,30 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,37.62%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,44.17%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,31 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,37.52%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,44.05%,
,SRC熟料,0,0,223044,,,,
