项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,1 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,,0,469420,94.08%,65.99%,51.85%,"1.0:00-1:10均化库库满停机；
2.22:50-23:05入磨分格轮过载跳停，立磨连锁停机。",,,,
,SRC/OWC生料,8690,49250,170963,,,,,,,,
回转窑,OPC熟料,,10105,293059,100.00%,91.41%,58.81%,,,,,
,SRC/OWC熟料,5386,25023,92975,,,,,,,,
项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,9 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,0,0,469420,100.00%,69.77%,52.22%,,,,,
,SRC/OWC生料,8897,58147,179860,,,,,,,,
回转窑,OPC熟料,0,10105,293059,100.00%,92.36%,59.13%,,,,,
,SRC/OWC熟料,5264,30287,98239,,,,,,,,
项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,10 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,0,0,469420,97.17%,72.51%,52.57%,"1.3:14-3:37立磨液压油站压力低，磨机连锁停机；
2.15:54-16:12操作员解锁391BE1，磨机连锁停机。",,,,
,SRC/OWC生料,8508,66655,188368,,,,,,,,
回转窑,OPC熟料,0,10105,293059,100.00%,93.13%,59.44%,,,,,
,SRC/OWC熟料,4922,35209,103161,,,,,,,,
项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,11 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,0,0,469420,63.88%,71.72%,52.65%,1.14:56-23:36均化库满停机,,,,
,SRC/OWC生料,5943,72598,194311,,,,,,,,
回转窑,OPC熟料,0,10105,293059,100.00%,93.75%,59.75%,,,,,
,SRC/OWC熟料,5040,40249,108200,,,,,,,,
项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,12 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,0,0,469420,100.00%,74.08%,53.01%,,,,,
,SRC/OWC生料,9148,81746,203459,,,,,,,,
回转窑,OPC熟料,0,10105,293059,100.00%,94.27%,60.06%,,,,,
,SRC/OWC熟料,5517,45765,113717,,,,,,,,
项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,13 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,0,0,469420,100.00%,76.07%,53.36%,1.7:25-7:37 441FN1风机叶轮结皮脱落造成高温风机震动大停机，窑止料。,,,,
,SRC/OWC生料,9193,90939,212652,,,,,,,,
回转窑,OPC熟料,0,10105,293059,99.17%,94.65%,60.35%,,,,,
,SRC/OWC熟料,5071,50836,118788,,,,,,,,
项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,14 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,0,0,469420,37.92%,73.35%,53.25%,1.6:00-20:54接业主通知计划停磨,,,,
,SRC/OWC生料,3496,94435,216148,,,,,,,,
回转窑,OPC熟料,0,10105,293059,100.00%,95.03%,60.65%,,,,,
,SRC/OWC熟料,4996,55832,123784,,,,,,,,
项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,15 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,0,0,469420,75.83%,73.51%,53.42%,1.2:52-8:40电厂故障，停磨待机,,,,
,SRC/OWC生料,7015,101450,223163,,,,,,,,
回转窑,OPC熟料,0,10105,293059,100.00%,95.36%,60.94%,,,,,
,SRC/OWC熟料,5221,61053,129005,,,,,,,,
项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,16 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,0,0,469420,97.92%,75.04%,53.74%,1.17:36-18:06入磨分格轮过载跳停，磨机连锁停机。,,,,
,SRC生料,8995,110445,232158,,,,,,,,
回转窑,OPC熟料,0,10105,293059,100.00%,95.65%,61.23%,,,,,
,SRC熟料,5654,66707,134659,,,,,,,,
项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,17 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,0,0,469420,100.00%,76.51%,54.08%,,,,,
,SRC生料,9260,119705,241418,,,,,,,,
回转窑,OPC熟料,0,10105,293059,100.00%,95.91%,61.51%,,,,,
,SRC熟料,5846,72554,140505,,,,,,,,
项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,18 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,0,0,469420,98.33%,77.72%,54.40%,1.10:58-11:22业主通知停磨，取361VC1皮带样品,,,,
,SRC生料,9305,129010,250723,,,,,,,,
回转窑,OPC熟料,0,10105,293059,100.00%,96.13%,61.79%,,,,,
,SRC熟料,5641,78195,146147,,,,,,,,
项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,19 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,0,0,469420,100.00%,78.89%,54.73%,,,,,
,SRC生料,9218,138228,259941,,,,,,,,
回转窑,OPC熟料,0,10105,293059,100.00%,96.34%,62.06%,,,,,
,SRC熟料,5724,83919,151871,,,,,,,,
项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,20 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,0,0,469420,100.00%,79.95%,55.05%,,,,,
,SRC生料,9196,147424,269137,,,,,,,,
回转窑,OPC熟料,0,10105,293059,100.00%,96.52%,62.34%,,,,,
,SRC熟料,5628,89548,157499,,,,,,,,
项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,21 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,0,0,469420,77.21%,79.82%,55.21%,"1.18:32-24:00窑停磨停；
2.18:30-24:00无重油，窑系统停机",,,,
,SRC生料,7020,154444,276157,,,,,,,,
回转窑,OPC熟料,0,10105,293059,77.08%,95.60%,62.44%,,,,,
,SRC熟料,4516,94064,162015,,,,,,,,
项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,22 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,0,0,469420,0.00%,76.19%,54.82%,1.无重油，系统停机,,,,
,SRC生料,0,154444,276157,,,,,,,,
回转窑,OPC熟料,0,10105,293059,0.00%,91.25%,62.00%,,,,,
,SRC熟料,0,94064,162015,,,,,,,,
项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,23 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,0,0,469420,0.00%,72.88%,54.44%,1.无重油，系统停机,,,,
,SRC生料,0,154444,276157,,,,,,,,
回转窑,OPC熟料,0,10105,293059,0.00%,87.28%,61.57%,,,,,
,SRC熟料,0,94064,162015,,,,,,,,
项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,24 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,0,0,469420,0.00%,69.84%,54.06%,1.无重油，系统停机,,,,
,SRC生料,0,154444,276157,,,,,,,,
回转窑,OPC熟料,0,10105,293059,0.00%,83.65%,61.14%,,,,,
,SRC熟料,0,94064,162015,,,,,,,,
项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,25 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,0,0,469420,0.00%,67.05%,53.69%,1.无重油，系统停机,,,,
,SRC生料,0,154444,276157,,,,,,,,
回转窑,OPC熟料,0,10105,293059,0.00%,80.30%,60.72%,,,,,
,SRC熟料,0,94064,162015,,,,,,,,
项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,26 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,0,0,469420,0.00%,64.47%,53.32%,1.无重油，系统停机,,,,
,SRC生料,0,154444,276157,,,,,,,,
回转窑,OPC熟料,0,10105,293059,0.00%,77.21%,60.30%,,,,,
,SRC熟料,0,94064,162015,,,,,,,,
项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,27 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,0,0,469420,0.00%,62.08%,52.96%,1.无重油，系统停机,,,,
,SRC生料,0,154444,276157,,,,,,,,
回转窑,OPC熟料,0,10105,293059,0.00%,74.35%,59.89%,,,,,
,SRC熟料,0,94064,162015,,,,,,,,
项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,28 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,0,0,469420,0.00%,59.86%,52.60%,1.无重油，系统停机,,,,
,SRC生料,0,154444,276157,,,,,,,,
回转窑,OPC熟料,0,10105,293059,0.00%,71.70%,59.49%,,,,,
,SRC熟料,0,94064,162015,,,,,,,,
项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,29 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,0,0,469420,0.00%,57.80%,52.25%,1.无重油，系统停机,,,,
,SRC生料,0,154444,276157,,,,,,,,
回转窑,OPC熟料,0,10105,293059,0.00%,69.22%,59.09%,,,,,
,SRC熟料,0,94064,162015,,,,,,,,
项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,30 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,0,0,469420,0.00%,55.87%,51.90%,1.无重油，系统停机,,,,
,SRC生料,0,154444,276157,,,,,,,,
回转窑,OPC熟料,0,10105,293059,0.00%,66.92%,58.69%,,,,,
,SRC熟料,0,94064,162015,,,,,,,,
项目生产信息,,,,,,,,,,,,
,,,,,,,,,,,,
2023年,5 ,月,31 ,日,,,,,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注,,,,
原料磨,OPC生料,0,0,469420,0.00%,54.07%,51.55%,1.无重油，系统停机,,,,
,SRC生料,0,154444,276157,,,,,,,,
回转窑,OPC熟料,0,10105,293059,0.00%,64.76%,58.30%,,,,,
,SRC熟料,0,94064,162015,,,,,,,,
