项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,1 ,日,,,,
回转窑,OPC熟料,0,0,293059,100.00%,26.19%,55.58%,
,SRC/OWC熟料,4601,17274,179289,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,15 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,469420,5.42%,11.89%,47.97%,"1.协助业主测试生产LC3原料，立磨频繁停机。生产LC3原料422吨，运行1.3小时。
2.均化库位低，窑减产运行。"
,SRC/OWC生料,0,14594,290751,,,,
回转窑,OPC熟料,3049,3049,296109,100.00%,31.11%,55.85%,
,SRC/OWC熟料,1525,18799,180814,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,16 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,469420,5.42%,11.48%,47.72%,"1.协助业主测试生产LC3原料，立磨频繁停机。生产LC3原料345吨，运行1.3小时。
2.业主通知均化库位到15米时，窑系统停机。"
,SRC生料,0,14594,290751,,,,
回转窑,OPC熟料,2625,5675,298734,62.50%,33.07%,55.89%,
,SRC熟料,0,18799,180814,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,17 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,469420,0.00%,10.81%,47.43%,1.系统停机待料。
,SRC生料,0,14594,290751,,,,
回转窑,OPC熟料,0,5675,298734,0.00%,31.13%,55.55%,
,SRC熟料,0,18799,180814,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,18 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,469420,23.25%,11.50%,47.29%,"1.立磨18:25投料生产；
2.回转窑16:50投料生产。"
,SRC生料,2092,16686,292843,,,,
回转窑,OPC熟料,0,5675,298734,29.83%,31.06%,55.40%,
,SRC熟料,1149,19948,181963,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,19 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,469420,79.50%,15.08%,47.48%,1.3:50-8:45更换黏土称链板，立磨停机。
,SRC生料,7433,24119,300276,,,,
回转窑,OPC熟料,0,5675,298734,100.00%,34.68%,55.66%,
,SRC熟料,4420,24369,186384,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,20 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,469420,100.00%,19.33%,47.78%,
,SRC生料,9624,33743,309900,,,,
回转窑,OPC熟料,0,5675,298734,100.00%,37.95%,55.92%,
,SRC熟料,5038,29407,191422,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,21 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,469420,98.75%,23.11%,48.08%,1.16:58-17:16入磨分格轮过载停机，磨机连锁停机
,SRC生料,9369,43112,319269,,,,
回转窑,OPC熟料,0,5675,298734,100.00%,40.90%,56.18%,
,SRC熟料,5137,34544,196559,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,22 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,469420,100.00%,26.60%,48.38%,
,SRC生料,9373,52485,328642,,,,
回转窑,OPC熟料,0,5675,298734,100.00%,43.59%,56.43%,
,SRC熟料,5075,39619,201634,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,23 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,469420,100.00%,29.79%,48.68%,
,SRC生料,9124,61609,337766,,,,
回转窑,OPC熟料,0,5675,298734,100.00%,46.04%,56.68%,
,SRC熟料,5304,44923,206938,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,24 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,469420,100.00%,32.72%,48.97%,
,SRC生料,8956,70565,346722,,,,
回转窑,OPC熟料,0,5675,298734,100.00%,48.29%,56.93%,
,SRC熟料,5399,50322,212337,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,25 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,469420,99.08%,35.37%,49.26%,1.8:47-9:00 391RF2低速报警停机，磨机连锁停机。
,SRC生料,9065,79630,355787,,,,
回转窑,OPC熟料,0,5675,298734,100.00%,50.36%,57.18%,
,SRC熟料,5452,55774,217789,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,26 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,469420,98.46%,37.80%,49.53%,1.19:54-20:16入磨分格轮过载跳停，立磨连锁停机
,SRC生料,9166,88796,364953,,,,
回转窑,OPC熟料,0,5675,298734,100.00%,52.27%,57.42%,
,SRC熟料,5410,61184,223199,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,27 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,469420,83.75%,39.50%,49.73%,"1.8:50-9:50窑尾设备通讯故障，窑止料。
2.8:50-12:44窑停磨停；
"
,SRC生料,7425,96221,372378,,,,
回转窑,OPC熟料,0,5675,298734,95.83%,53.88%,57.63%,
,SRC熟料,5046,66230,228245,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,28 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,469420,100.00%,41.66%,50.01%,
,SRC生料,9441,105662,381819,,,,
回转窑,OPC熟料,0,5675,298734,100.00%,55.53%,57.87%,
,SRC熟料,5453,71683,233698,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,29 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,469420,100.00%,43.67%,50.28%,
,SRC生料,9369,115031,391188,,,,
回转窑,OPC熟料,0,5675,298734,100.00%,57.06%,58.10%,
,SRC熟料,5604,77286,239302,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,30 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,469420,100.00%,45.55%,50.56%,
,SRC生料,9398,124429,400586,,,,
回转窑,OPC熟料,0,5675,298734,100.00%,58.49%,58.34%,
,SRC熟料,5642,82928,244944,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,31 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,#REF!,#REF!,#REF!,#REF!,44.08%,50.28%,
,SRC生料,#REF!,#REF!,#REF!,,,,
回转窑,OPC熟料,#REF!,#REF!,#REF!,#REF!,56.61%,58.02%,
,SRC熟料,#REF!,#REF!,#REF!,,,,
