项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,1 ,日,,,,
,SRC/OWC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,55.82%,
,SRC/OWC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,16 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,47.39%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,55.63%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,17 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,47.22%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,55.44%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,18 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,47.06%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,55.25%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,19 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,46.90%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,55.06%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,20 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,46.74%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,54.87%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,21 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,46.58%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,54.68%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,22 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,46.42%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,54.50%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,23 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,46.27%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,54.32%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,24 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,46.11%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,54.13%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,25 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,45.95%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,53.95%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,26 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,45.80%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,53.77%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,27 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,45.65%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,53.59%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,28 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,45.50%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,53.41%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,29 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,45.35%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,53.24%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,30 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,45.20%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,53.06%,
,SRC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,31 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,45.05%,
,SRC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,52.89%,
,SRC熟料,0,0,223044,,,,
