项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,1 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,,0,55279,42.21%,7.03%,17.14%,1.13:52立磨投料生产。
,SRC/OWC生料,4269 ,4269,4269,,,,
回转窑,OPC熟料,4354 ,8234,43536,100.00%,30.88%,22.08%,
,SRC/OWC熟料,871 ,871,871,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,7 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,,0,55279,100.00%,20.32%,19.32%,
,SRC/OWC生料,10511,14780,14780,,,,
回转窑,OPC熟料,,8234,43536,100.00%,40.76%,24.13%,
,SRC/OWC熟料,5383 ,6254,6254,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,8 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,,0,55279,100.00%,30.28%,21.39%,
,SRC/OWC生料,10854,25634,25634,,,,
回转窑,OPC熟料,,8234,43536,100.00%,48.16%,26.08%,
,SRC/OWC熟料,5528,11782,11782,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,9 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,55279,100.00%,38.02%,23.36%,
,SRC/OWC生料,10874,36508,36508,,,,
回转窑,OPC熟料,0,8234,43536,100.00%,53.92%,27.92%,
,SRC/OWC熟料,5506,17288,17288,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,10 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,55279,100.00%,44.22%,25.23%,
,SRC/OWC生料,10570,47078,47078,,,,
回转窑,OPC熟料,0,8234,43536,100.00%,58.53%,29.68%,
,SRC/OWC熟料,5582,22870,22870,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,11 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,55279,100.00%,49.29%,27.01%,
,SRC/OWC生料,10794,57872,57872,,,,
回转窑,OPC熟料,0,8234,43536,100.00%,62.30%,31.36%,
,SRC/OWC熟料,5790,28660,28660,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,12 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,55279,100.00%,53.52%,28.70%,1.生产OWC熟料，难煅烧，窑减产运行；
,SRC/OWC生料,10915,68787,68787,,,,
回转窑,OPC熟料,0,8234,43536,100.00%,65.44%,32.95%,
,SRC/OWC熟料,5602,34263,34263,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,13 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,55279,100.00%,57.09%,30.32%,
,SRC/OWC生料,10856,79643,79643,,,,
回转窑,OPC熟料,0,8234,43536,100.00%,68.10%,34.48%,
,SRC/OWC熟料,5256,39518,39518,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,14 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,55279,90.63%,59.49%,31.66%,1.3:25-5:40入磨皮带抱闸电机备妥丢失，磨机跳停。
,SRC/OWC生料,9672,89315,89315,,,,
回转窑,OPC熟料,0,8234,43536,100.00%,70.38%,35.93%,
,SRC/OWC熟料,5286,44805,44805,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,15 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,55279,67.33%,60.01%,32.44%,1.14:35-22:25窑停磨停
,SRC/OWC生料,6765,96080,96080,,,,
回转窑,OPC熟料,0,8234,43536,79.04%,66.93%,35.56%,1.14:30-19:32无柴油，停窑待柴油
,SRC/OWC熟料,4093,48898,48898,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,16 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,55279,100.00%,62.51%,33.88%,
,SRC/OWC生料,10244,106324,106324,,,,
回转窑,OPC熟料,0,8234,43536,100.00%,68.99%,36.93%,
,SRC/OWC熟料,5546,54444,54444,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,17 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,55279,100.00%,64.72%,35.26%,
,SRC/OWC生料,10209,116533,116533,,,,
回转窑,OPC熟料,0,8234,43536,100.00%,70.82%,38.24%,
,SRC/OWC熟料,5532,59976,59976,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,18 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,55279,41.25%,63.41%,35.38%,1.9:54-24:00更改OPC，立磨停机待库
,SRC/OWC生料,4191,120724,120724,,,,
回转窑,OPC熟料,0,8234,43536,55.21%,69.95%,38.59%,1.10:15-21:00停机更换2号高温风机电机轴承
,SRC/OWC熟料,2767,62743,62743,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,19 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,55279,10.00%,60.60%,34.87%,1.21:36立磨投料生产OPC生料
,SRC/OWC生料,989,121713,121713,,,,
回转窑,OPC熟料,0,8234,43536,100.00%,71.53%,39.82%,
,SRC/OWC熟料,5209,67952,67952,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,20 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,10372,10372,65651,100.00%,62.57%,36.15%,
,SRC/OWC生料,0,121713,121713,,,,
回转窑,OPC熟料,5433,13667,48969,100.00%,72.96%,41.00%,
,SRC/OWC熟料,0,67952,67952,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,21 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,10493,20865,76144,100.00%,64.35%,37.38%,
,SRC/OWC生料,0,121713,121713,,,,
回转窑,OPC熟料,5464,19130,54433,100.00%,74.24%,42.13%,
,SRC/OWC熟料,0,67952,67952,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,22 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,10691,31556,86835,100.00%,65.97%,38.56%,
,SRC/OWC生料,0,121713,121713,,,,
回转窑,OPC熟料,5430,24560,59862,100.00%,75.41%,43.22%,
,SRC/OWC熟料,0,67952,67952,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,23 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,10713,42269,97548,100.00%,67.45%,39.69%,
,SRC生料,0,121713,121713,,,,
回转窑,OPC熟料,5282,29842,65144,100.00%,76.48%,44.27%,
,SRC熟料,0,67952,67952,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,24 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,10059,52328,149876,95.42%,68.62%,40.71%,1.14:02-15:08立磨振动值断电，磨机连锁跳停
,SRC生料,0,121713,121713,,,,
回转窑,OPC熟料,5449,35291,70594,100.00%,77.46%,45.29%,
,SRC熟料,0,67952,67952,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,25 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,2816,55144,152692,26.96%,66.95%,40.46%,1.6:28-24:00窑停磨停。
,SRC生料,0,121713,121713,,,,
回转窑,OPC熟料,1421,36712,72015,25.71%,75.39%,44.94%,1.6:10-24:00A列高温风机电气柜风扇故障跳停，窑止料，更换B列高温风机电机有载端轴承。
,SRC熟料,0,67952,67952,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,26 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,5215,60359,157907,50.96%,66.34%,40.65%,"原料磨系统：
1.0:00-9:10窑停磨停；
2.11:11-13:47石灰石取料机料耙液压泵故障。
回转窑系统：
1.8:13投料生产"
,SRC生料,0,121713,121713,,,,
回转窑,OPC熟料,3150,39862,75165,65.75%,75.02%,45.30%,
,SRC熟料,0,67952,67952,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,27 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,8925,69284,166832,96.38%,67.45%,41.61%,1.19:48-20:40铁粉仓堵料，停机清理。
,SRC生料,0,121713,121713,,,,
回转窑,OPC熟料,5454,45316,80619,100.00%,75.95%,46.25%,
,SRC熟料,0,67952,67952,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,28 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,10152,79436,176984,100.00%,68.61%,42.60%,
,SRC生料,0,121713,121713,,,,
回转窑,OPC熟料,5546,50862,86164,100.00%,76.81%,47.16%,
,SRC熟料,0,67952,67952,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,29 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,10214,89650,187198,100.00%,69.69%,43.55%,
,SRC生料,0,121713,121713,,,,
回转窑,OPC熟料,5457,56319,91622,100.00%,77.61%,48.04%,
,SRC熟料,0,67952,67952,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,30 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,-211363,-121713,-24165,0.00%,67.37%,42.84%,
,SRC生料,-211363,-89650,-89650,,,,
回转窑,OPC熟料,-124270,-67951,-32649,0.00%,75.02%,47.25%,
,SRC熟料,-124270,-56319,-56319,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,31 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,-121713,-24165,0.00%,65.20%,42.15%,
,SRC生料,0,-89650,-89650,,,,
回转窑,OPC熟料,0,-67951,-32649,0.00%,72.60%,46.49%,
,SRC熟料,0,-56319,-56319,,,,
